HELM
Cap	cap	War Hat	xap	Shako	uap
Skull Cap	skp	Sallet	xkp	Hydraskull	ukp
Helm	hlm	Casque	xlm	Armet	ulm
Full Helm	fhl	Basinet	xhl	Giant Conch	uhl
Great Helm	ghm	Winged Helm	xhm	Spired Helm	uhm
Crown	crn	Grand Crown	xrn	Corona	urn
Mask	msk	Death Mask	xsk	Demonhead	usk
Bone Helm	bhm	Grim Helm	xh9	Bone Visage	uh9

BODY_ARMOR
Quilted Armor	qui	Ghost Armor	xui	Dusk Shroud	uui
Leather Armor	lea	Serpentskin	xea	Wyrmhide	uea
Hard Leather	hla	Demonhide Armor	xla	Scarab Husk	ula
Studded Leather	stu	Trellised Armor	xtu	Wire Fleece	utu
Ring Mail	rng	Linked Mail	xng	Diamond Mail	ung
Scale Mail	scl	Tigulated Mail	xcl	Loricated Mail	ucl
Chain Mail	chn	Mesh Armor	xhn	Boneweave	uhn
Breast Plate	brs	Cuirass	xrs	Great Hauberk	urs
Splint Mail	spl	Russet Armor	xpl	Balrog Skin	upl
Plate Mail	plt	Templar Coat	xlt	Hellforge Plate	ult
Field Plate	fld	Sharktooth	xld	Kraken Shell	uld
Gothic Plate	gth	Embossed Plate	xth	Lacquered Plate	uth
Full Plate Mail	ful	Chaos Armor	xul	Shadow Plate	uul
Ancient Armor	aar	Ornate Armor	xar	Sacred Armor	uar
Light Plate	ltp	Mage Plate	xtp	Archon Plate	utp

SHIELDS
Buckler	buc	Defender	xuc	Heater	uuc; 2,2
Small Shield	sml	Round Shield	xml	Luna	uml; 2,2
Large Shield	lrg	Scutum	xrg	Hyperion	urg; 3,2
Kite Shield	kit	Dragon Shield	xit	Monarch	uit; 3,2
Tower Shield	tow	Pavise	xow	Aegis	uow;
Gothic Shield	gts	Ancient Shield	xts	Ward	uts
Bone Shield	bsh	Grim Shield	xsh	Troll Nest	ush
Spiked Shield	spk	Barbed Shield	xpk	Blade Barrier	upk

GLOVES
Leather Gloves	lgl	Demonhide Gloves	xlg	Bramble Mitts	ulg
Heavy Gloves	vgl	Sharkskin Gloves	xvg	Vampirebone Gloves	uvg
Chain Gloves	mgl	Heavy Bracers	xmg	Vambraces	umg
Light Gauntlets	tgl	Battle Gauntlets	xtg	Crusader Gauntlets	utg
Gauntlets	hgl	War Gauntlets	xhg	Ogre Gauntlets	uhg

BOOTS
Boots	lbt	Demonhide Boots	xlb	Wyrmhide Boots	ulb
Heavy Boots	vbt	Sharkskin Boots	xvb	Scarabshell Bts	uvb
Chain Boots	mbt	Mesh Boots	xmb	Boneweave Boots	umb
Light Plate	tbt	Battle Boots	xtb	Mirrored Boots	utb
Greaves	hbt	War Boots	xhb	Myrmidon Greave	uhb

BELTS
Sash	lbl	Demonhide Sash	zlb	Spiderweb Sash	ulc
Light Belt	vbl	Sharkskin Belt	zvb	Vampirefang Blt	uvc
Belt	mbl	Mesh Belt	zmb	Mithril Coil	umc
Heavy Belt	tbl	Battle Belt	ztb	Troll Belt	utc
Plated Belt	hbl	War Belt	zhb	Colossus Girdle	uhc

DRUID_PELTS
Wolf Head	dr1	Alpha Helm	dr6	Blood Spirit	drb
Hawk Helm	dr2	Griffon Headress	dr7	Sun Spirit	drc
Antlers	dr3	Hunter’s Guise	dr8	Earth Spirit	drd
Falcon Mask	dr4	Sacred Feathers	dr9	Sky Spirit	dre
Spirit Mask	dr5	Totemic Mask	dra	Dream Spirit	drf

BARBARIAN_HELMS
Jawbone Cap	ba1	Jawbone Visor	ba6	Carnage Helm	bab
Fanged Helm	ba2	Lion Helm	ba7	Fury Visor	bac
Horned Helm	ba3	Rage Mask	ba8	Destroyer Helm	bad
Assault Helmet	ba4	Savage Helmet	ba9	Conqueror Crown	bae
Avenger Guard	ba5	Slayer Guard	baa	Guardian Crown	baf

PALADIN_SHIELDS
Targe	pa1	Akaran Targe	pa6	Sacred Targe	pab; 2,2
Rondache	pa2	Akaran Rondache	pa7	Sacred Rondache	pac
Heraldic Shield	pa3	Protector Shld	pa8	Kurast Shield	pad
Aerin Shield	pa4	Guilded Shield	pa9	Zakarum Shield	pae
Crown Shield	pa5	Royal Shield	paa	Vortex Shield	paf

SHRUNKEN_HEADS
Preserved Head	ne1	Mummified Trphy	ne6	Minion Skull	neb
Zombie Head	ne2	Fetish Trophy	ne7	Hellspawn Skull	nec
Unraveller Head	ne3	Sexton Trophy	ne8	Overseer Skull	ned
Gargoyle Head	ne4	Cantor Trophy	ne9	Succubae Skull	nee
Demon Head	ne5	Hierophant Trophy	nea	Bloodlord Skull	nef

CIRCLETS
Circlet	ci0	Coronet	ci1	Tiara	ci2	Diadem	ci3

AXES
Hand Axe	hax	Hatchet	9ha	Tomahawk	7ha; 3,1
Axe	axe	Cleaver	9ax	Small Crescent	7ax; 3,2
Double Axe	2ax	Twin Axe	92a	Ettin Axe	72a; 3,2
Military Pick	mpi	Crowbill	9mp	War Spike	7mp; 3,2
War Axe	wax	Naga	9wa	Berserker Axe	7wa
Large Axe	lax	Military Axe	9la	Feral Axe	7la
Broad Axe	bax	Bearded Axe	9ba	Silver Edged Ax	7ba
Battle Axe	btx	Tabar	9bt	Decapitator	7bt
Great Axe	gax	Gothic Axe	9ga	Champion Axe	7ga
Giant Axe	gix	Ancient Axe	9gi	Glorious Axe	7gi

MACES
Club	clb	Cudgel	9cl	Truncheon	7cl; 3,1
Spiked Club	spc	Barbed Club	9sp	Tyrant Club	7sp; 3,1
Mace	mac	Flanged Mace	9ma	Reinforced Mace	7ma; 3,1
Morning Star	mst	Jagged Star	9mt	Devil Star	7mf; 3,1
Flail	fla	Knout	9fl	Scourge	7fl; 3,2
War Hammer	whm	Battle Hammer	9wh	Legendary Mallt	7wh
Maul	mau	War Club	9m9	Ogre Maul	7m7; 4,2
Great Maul	gma	Martel de Fer	9gm	Thunder Maul	7gm; 4,2

SWORDS
Short Swrod	ssd	Gladius	9ss	Falcata	7ss; 3,1
Scimitar	scm	Cutlass	9sm	Ataghan	7sm; 3,1
Saber	sbr	Shamshir	9sb	Elegant Blade	7sb; 3,1
Falchion	flc	Tulwar	9fc	Hydra Edge	7fc; 3,1
Crystal Sword	crs	Dimensional Bld	9cr	Phase Blade	7cr; 3,2
Broad Sword	bsd	Battle Sword	9bs	Conquest Sword	7bs; 3,2
Long Sword	lsd	Rune Sword	9ls	Cryptic Sword	7ls; 3,2
War Sword	wsd	Ancient Sword	9wd	Mythical Sword	7wd; 3,2
Two-handed Swrd	2hs	Espadon	92h	Legend Sword	72h; 3,2
Claymore	clm	Dacian Falx	9cm	Highland Blade	7cm; 4,1
Giant Sword	gis	Tusk Sword	9gs	Balrog Blade	7gs
Bastard Sword	bsw	Gothic Sword	9b9	Champion Sword	7b7
Flamberge	flb	Zweihander	9fb	Colossal Sword	7fb
Great Sword	gsd	Executioner Swr	9gd	Colossus Blade	7gd

DAGGERS
Dagger	dgr	Poignard	9dg	Bone Knife	7dg; 2,1
Dirk	dir	Rondel	9di	Mithral Point	7di; 2,1
Kriss	kri	Cinquedeas	9kr	Fanged Knife	7kr; 3,1
Blade	bld	Stilleto	9bl	Legend Spike	7bl; 3,1

THROWING
Throwing Knife	tkf	Battle Dart	9tk	Flying Knife	7tk
Throwing Axe	tax	Francisca	9ta	Flying Axe	7ta
Balanced Knife	bkf	War Dart	9bk	Winged Knife	7bk
Balanced Axe	bal	Hurlbat	9b8	Winged Axe	7b8

JAVELINS
Javelin	jav	War Javelin	9ja	Hyperion Javeln	7ja
Pilum	pil	Great Pilum	9pi	Stygian Pilum	7pi
Short Spear	ssp	Simbilan	9s9	Balrog Spear	7s7
Glaive	glv	Spiculum	9gl	Ghost Glaive	7gl
Throwing Spear	tsp	Harpoon	9ts	Winged Harpoon	7ts

THROWING_POTIONS
Rancid Gas Pot	gps	Choking Gas Pot	gpm	Strangling Gas	gpl
Oil Potion	ops	Exploding Pot	opm	Fulminating Pot	opl

SPEARS
Spear	spr	War Spear	9sr	Hyperion Spear	7sr
Trident	tri	Fuscina	9tr	Stygian Pike	7tr
Brandistock	brn	War Fork	9br	Mancatcher	7br
Spetum	spt	Yari	9st	Ghost Spear	7st
Pike	pik	Lance	9p9	War Pike	7p7

POLEARMS
Bardiche	bar	Lochaber Axe	9b7	Ogre Axe	7o7
Voulge	vou	Bill	9vo	Colossus Voulge	7vo
Scythe	scy	Battle Scythe	9s8	Thresher	7s8
Poleaxe	pax	Partizan	9pa	Cryptic Axe	7pa
Halberd	hal	Bec-de-Corbin	9h9	Great Poleaxe	7h7
War Scythe	wsc	Grim Scythe	9wc	Giant Thresher	7wc

BOWS
Short Bow	sbw	Edge Bow	8sb	Spider Bow	6sb; 3,2
Hunter’s Bow	hbw	Razor Bow	8hb	Blade Bow	6hb; 3,2
Long Bow	lbw	Cedar Bow	8lb	Shadow Bow	6lb
Composite Bow	cbw	Double Bow	8cb	Great Bow	6cb; 3,2
Shrt Battle Bow	sbb	Short Siege Bow	8s8	Diamond Bow	6s7; 3,2
Long Battle Bow	lbb	Long Siege Bow	8l8	Crusader Bow	6l7
Short War Bow	swb	Rune Bow	8sw	Ward Bow	6sw; 3,2
Long War Bow	lwb	Gothic Bow	8lw	Hydra Bow	6lw

CROSSBOWS
Light Crossbow	lxb	Arbalest	8lx	Pellet Bow	6lx; 3,2
Crossbow	mxb	Siege Crossbow	8mx	Gorgon Crossbow	6mx; 3,2
Heavy Crossbow	hxb	Ballista	8hx	Colossus x-bow	6hx
Repeating X-bow	rxb	Chu-Ko-Nu	8rx	Demon Crossbow	6rx

STAVES
Short Staff	sst	Jo Staff	8ss	Walking Stick	6ss; 3,1
Long Staff	lst	Quarterstaff	8ls	Stalagmite	6ls; 4,1
Gnarled Staff	gst	Cedar Staff	8cs	Elder Staff	6cs; 4,1
Battle Staff	bst	Gothic Staff	8bs	Shillelagh	6bs; 3,2
War Staff	wst	Rune Staff	8ws	Archon Staff	6ws; 3,2

WANDS
Wand	wnd	Burnt Wand	9wn	Polished Wand	7wn
Yew Wand	ywn	Petrified Wand	9yw	Ghost Wand	7yw
Bone Wand	bwn	Tomb Wand	9bw	Lich Wand	7bw
Grim Wand	gwn	Grave Wand	9gw	Unearthed Wand	7gw

SCEPTERS
Sceptre	scp	Rune Sceptre	9sc	Mighty Sceptre	7sc; 3,1
Grand Sceptre	gsc	Holy Water Spri	9qs	Seraph Rod	7qs
War Sceptre	wsp	Divine Sceptre	9ws	Caduceus	7ws

ASSASSIN_KATARS
Katar	ktr	Quhab	9ar	Suwayyah	7ar
Wrist Blade	wrb	Wrist Spike	9wb	Wrist Sword	7wb
Hatchet Hands	axf	Fascia	9xf	War Fist	7xf
Cestus	ces	Hand Scythe	9cs	Battle Cestus	7cs
Claws	clw	Greater Claws	9lw	Feral Claws	7lw
Blade Talons	btl	Greater Talons	9hw	Runic Talons	7hw
Scissors Katar	skr	Scissors Quhab	9qr	Scissors Suwayh	7qr

SORCERESS_ORBS
Eagle Orb	ob1	Glowing Orb	ob6	Heavenly Stone	obb
Sacred Globe	ob2	Crystalline Glb	ob7	Eldritch Orb	obc
Smoked Sphere	ob3	Cloudy Sphere	ob8	Demon Heart	obd
Clasped Orb	ob4	Sparkling Ball	ob9	Vortex Orb	obe
Dragon Stone	ob5	Swirling Crystl	oba	Dimensional Shrd	obf

AMAZON_WEAPONS
Stag Bow	am1	Ashwood Bow	am6	Matriarchal Bow	amb
Reflex Bow	am2	Ceremonial Bow	am7	Grnd Matron Bow	amc
Maiden Spear	am3	Ceremonial Spr	am8	Matriarchal Spr	amd
Maiden Pike	am4	Ceremonial Pike	am9	Matriarchal Pik	ame
Maiden Javelin	am5	Ceremonial Jav	ama	Matriarchal Jav	amf

QUEST_ITEMS
